start	end	text
2633120	2641600	we have a quadratic expression, 50 a1 squared minus 80 a1 plus 40. And then if you took the
2641600	2649760	derivative of this with respect to a1, you would get through, you know, low bill calculus, 100 a1
2649760	2656640	minus 80. And if you set this equal to zero and solve for the value of a, you would indeed find
2656640	2666960	that you get a1 equals zero point eight. So, yes. I'm not sure if you'll need to know exactly
2666960	2677280	this, but I don't know. I am not sure. I do not know. Sorry. I personally have not seen what
2677280	2687920	the final exam looks like at this time, so I'm not sure. Again, I'm not, I'm not sure. Sorry.
2691440	2702080	Okay. Well, anyway, so that finishes section 18 that just leaves the last section. We'll talk
2702080	2708400	about section 22, which is on reinforcement learning. And I'll just give you a heads up that,
2709520	2715120	these, a lot of these questions are more conceptual. The sample problems for this section,
2715120	2720960	there weren't as many like numerical ones. So these are like more conceptual problems about RL.
2722000	2731120	So this first one, 21.2, chapter 17 defined a proper policy for an MDP Markov decision process,
2731120	2736960	as one that is guaranteed to reach a terminal state, show that it is possible for a passive ADP
2737600	2744160	agents to learn a transition model for which its policy pie is improper, even if pie is proper
2744160	2750480	for the true MDP. So as with such models, the policy evaluation step may fail if gamma equals one,
2750480	2755840	show that this problem cannot arise if policy evaluation is applied to the learned model only at
2755840	2762560	the end of a trial. So yeah, so this is a bit of a wordy problem, but it boils down to a proof
2762560	2770240	by example, essentially. So they say, consider a world with two states, S0 and S1, with two actions
2770240	2776320	in each state either state still or move to the other state. Assume the move action is non-deterministic
2776320	2781520	and it may sometimes fail, leaving the agent in the same state. Furthermore, assume that the agent
2781520	2789120	starts in S0 and that S1 is a terminal state, so a simple two-state world. So then if the agent
2789120	2795200	tries several move actions and they all fail because of bad luck, random chance, the agent may
2795200	2804240	conclude that the transition T of S0 move S1 is zero, and thus it may choose a policy where pie
2804240	2810880	of S0 equals stay, which is an improper policy. And so if we instead wait until the agent reaches S1
2810880	2818240	before updating the policy, we won't fall victim to this problem. So yeah, just an interesting
2818880	2830240	example, I suppose. Okay, then 21.8 grid world. This question asks, devise suitable features
2830240	2836320	for reinforcement learning in stochastic grid world, generalizations of the four by three world
2836320	2842080	that contain multiple obstacles and multiple terminal states with rewards of plus one or minus one.
2842720	2849600	So this is just, this is again an open-ended question. So it's just about proposing features that
2849600	2860960	could be useful for the agent to have access to or to see. Does anyone want to propose any features
2861040	2872800	that might be useful? I think there's things like what's the distance to the nearest plus one
2872800	2877440	is an example. What's the distance to the nearest minus one terminal state?
2878480	2882560	Things like what's the distance to the nearest obstacle or how many obstacles are nearby?
2883440	2889920	Basically, this is just a, this would be like an open format question. So you could propose a lot
2889920	2894720	of different options, but the examples that they gave were things like distance to the nearest
2894720	2899520	plus one or minus one terminal state, number of adjacent plus one or minus one terminal states,
2900640	2905120	number of adjacent obstacles, number of obstacles that intersect with a path to the nearest
2905120	2912960	plus one terminal state, for example. Okay, and then the last question, this one, 21.13 evolution
2913040	2920160	as RL, this is again another more conceptual problem. I'm not really sure if you would have,
2920160	2924240	I don't think you would really have questions like this that are more conceptually oriented because
2924240	2929040	I'm not sure how you would put it. This is a multiple-choice question, but this is just a question
2929040	2934640	from the book that talked about, you know, what are the parallels between reinforcement learning
2934640	2938560	and and evolution and what kind of connections exist or what kind of things are different.
2939120	2945040	And so some things are like, what are the analogs between the reward signal, the learning process
2945040	2949520	or the policy? You could imagine a simple animal that doesn't learn in its lifetime,
2949520	2954240	and its behavior is fully determined by its genotype, which would be like the parameters of its
2954240	2960320	policy, but then mutations and crossovers can create new values for the parameters,
2961120	2965440	but then you'd also could imagine as a reinforcement learning process that works on many different
2965440	2970080	copies of Pi simultaneously. However, a complication of this is that each copy of Pi
2970080	2976720	modifies the environment for other copies, whereas RL, the environment is fixed. And then they
2976720	2983280	talk about the reward function, like they say that RL maximizes the sum of rewards, whereas in
2983280	2988960	biology, you're trying to maximize reproductive fitness. So in this view, evolution could be viewed
2988960	2994400	as trying to find Pi that generates the most copies of itself over time, but there's more complexity
2994400	2999440	to that. There's multiple genes that contribute to a genotype and influence things in different
2999440	3005360	ways. There's complexity of multi-agent environments, and also maybe most important organisms learned
3005360	3011520	during their lifetime. They're not just derived fully from their genotype. So overall, they say that
3011520	3015520	from a philosophical perspective, one must be careful not to assume an absolute equivalence
3015520	3020160	between the two, but instead view parallel similarities and differences when drawing these kinds of
3020160	3025360	comparisons. So overall, that's more of a conceptual problem that they included. But
3027360	3033760	with that, that was the last of the sample problems I pulled. Overall, there are more sample problems
3034720	3041920	that can be found at aimacode.github.io slash aimaxercises. Yeah, are there any questions?
3050160	3069200	So I will tell you that let me just double check. Bill and Sujong sent me their list of sample
3069200	3084400	problems which came from sections 13, 14, 15, 16, 17, 18, and 22. Oh, oh wait. Not 22, 21. That was a
3084400	3092000	typo. It should be 2021. That's the reinforcement learning section. In the aimacode, some of the numbers
3092000	3103280	changed. So 22 became NLP instead of RL. So that would be 13, 14, 15, 16, 17, 18, and 21 would be all
3103280	3110960	the sections. I think that would be relevant. Overall, though, I would suggest review the course
3110960	3116640	slides to make sure just to verify that it matches up with the subject material that you've been
3116640	3123120	learning about. But yeah, all right. Well, are there any other questions?
3124480	3130720	All right. Well, in that case, I wish you all good luck. Break a leg with the final exam.
3131680	3136080	That exam, I think, is about a week from today. If I'm mistaken.
3139600	3142800	December 17, I think. Yes.
3147440	3152880	I'm going to assume, probably, yes. If you're not, if you want, post about it on Piazza,
3152880	3158880	but I'm going to assume that this exam should be basically conducted with the same format as
3158880	3161200	the other two midterms, essentially. So yeah.
3167120	3169600	All right. Well, in that case, thank you all for coming.
